"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Kazakhstan","Male","60.3","60.31225","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Kazakhstan","Male","15.9","15.91357","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Kazakhstan","Male","70.0","69.97667","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Kazakhstan","Male","62.4","62.37437","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Kazakhstan","Male","16.8","16.84301","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Kazakhstan","Female","69.2","69.15388","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Kazakhstan","Female","60.5","60.53521","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Kazakhstan","Female","17.8","17.75512","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Kazakhstan","Female","73.4","73.38692","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Kazakhstan","Female","64.0","64.00623","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Kazakhstan","Female","19.2","19.19334","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Kazakhstan","Female","76.2","76.21558","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Kazakhstan","Female","66.3","66.27176","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Kazakhstan","Female","20.6","20.62115","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Kazakhstan","Female","77.6","77.61427","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Kazakhstan","Female","67.4","67.39230","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Kazakhstan","Female","21.4","21.43680","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Kazakhstan","Both sexes","63.1","63.14555","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Kazakhstan","Both sexes","56.1","56.09719","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Kazakhstan","Both sexes","15.3","15.31295","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Kazakhstan","Both sexes","68.4","68.43288","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Kazakhstan","Both sexes","60.4","60.44891","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Kazakhstan","Both sexes","17.2","17.15685","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Kazakhstan","Both sexes","71.9","71.90915","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Kazakhstan","Both sexes","63.4","63.35219","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Kazakhstan","Both sexes","18.6","18.59040","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Kazakhstan","Both sexes","74.0","73.95099","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Kazakhstan","Both sexes","65.0","64.98934","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Kazakhstan","Both sexes","19.5","19.46027","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Kenya","Male","52.8","52.84553","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Kenya","Male","46.6","46.64901","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Kenya","Male","14.5","14.52364","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Kenya","Male","59.2","59.23307","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Kenya","Male","52.6","52.60996","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Kenya","Male","14.9","14.87207","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Kenya","Male","61.7","61.71071","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Kenya","Male","54.8","54.75502","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Kenya","Male","15.6","15.58959","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Kenya","Male","63.7","63.69933","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Kenya","Male","56.4","56.41041","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Kenya","Male","16.0","15.98571","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Kenya","Female","54.9","54.91045","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Kenya","Female","47.2","47.24839","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Kenya","Female","18.1","18.10426","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Kenya","Female","63.1","63.07304","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Kenya","Female","54.4","54.42490","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Kenya","Female","18.5","18.48417","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Kenya","Female","66.6","66.61713","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Kenya","Female","57.4","57.40244","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Kenya","Female","18.8","18.82303","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Kenya","Female","68.4","68.44287","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Kenya","Female","58.9","58.92707","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Kenya","Female","19.1","19.08801","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Kenya","Both sexes","53.9","53.87265","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Kenya","Both sexes","46.9","46.93756","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Kenya","Both sexes","16.3","16.33276","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Kenya","Both sexes","61.2","61.17774","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Kenya","Both sexes","53.5","53.53059","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Kenya","Both sexes","16.8","16.78532","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Kenya","Both sexes","64.2","64.16978","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Kenya","Both sexes","56.1","56.08237","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Kenya","Both sexes","17.3","17.31884","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Kenya","Both sexes","66.1","66.08511","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Kenya","Both sexes","57.7","57.67739","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Kenya","Both sexes","17.6","17.64418","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Kyrgyzstan","Male","61.9","61.94992","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Kyrgyzstan","Male","55.8","55.80447","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Kyrgyzstan","Male","14.9","14.85952","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Kyrgyzstan","Male","65.2","65.20090","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Kyrgyzstan","Male","58.9","58.89186","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Kyrgyzstan","Male","15.5","15.52956","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Kyrgyzstan","Male","67.9","67.91751","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Kyrgyzstan","Male","61.3","61.32084","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Kyrgyzstan","Male","16.3","16.28174","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Kyrgyzstan","Male","70.7","70.74789","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Kyrgyzstan","Male","63.6","63.61175","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Kyrgyzstan","Male","17.8","17.78028","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Kyrgyzstan","Female","70.2","70.18462","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Kyrgyzstan","Female","61.7","61.68103","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Kyrgyzstan","Female","18.3","18.26509","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Kyrgyzstan","Female","73.3","73.28658","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Kyrgyzstan","Female","64.5","64.49477","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Kyrgyzstan","Female","19.3","19.30854","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Kyrgyzstan","Female","75.3","75.28014","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Kyrgyzstan","Female","66.2","66.16227","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Kyrgyzstan","Female","20.2","20.24357","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Kyrgyzstan","Female","77.3","77.31073","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Kyrgyzstan","Female","67.7","67.73122","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Kyrgyzstan","Female","21.7","21.66884","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Kyrgyzstan","Both sexes","66.0","65.95020","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Kyrgyzstan","Both sexes","58.7","58.65565","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Kyrgyzstan","Both sexes","16.7","16.72375","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Kyrgyzstan","Both sexes","69.2","69.17432","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Kyrgyzstan","Both sexes","61.6","61.64499","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Kyrgyzstan","Both sexes","17.6","17.56057","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Kyrgyzstan","Both sexes","71.6","71.59398","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Kyrgyzstan","Both sexes","63.7","63.73938","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Kyrgyzstan","Both sexes","18.4","18.41276","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Kyrgyzstan","Both sexes","74.2","74.18089","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Kyrgyzstan","Both sexes","65.8","65.77573","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Kyrgyzstan","Both sexes","20.0","20.00511","","","","",""
